feature,is_existing,gain_pct,mean_abs_shap,perm_delta_auc
D2,False,4.98089523208965,0.2110123293837429,0.023537832851742234
C1,False,8.629986496255952,0.09023991646496596,0.021517514556821115
id_19,False,7.393661211722304,0.14953734226322368,0.016601690500482314
C6,False,1.581417200133927,0.06580439496054508,0.01631250941582981
C9,False,1.1249869444400382,0.0644015467800199,0.013627194147265131
D15,False,2.3662932549026396,0.11696566571954609,0.00969000449422478
C5,False,1.5302760840588143,0.15962290152759595,0.007773835763279035
C11,False,1.4926213732847025,0.0586319730621645,0.006801023251282734
C2,False,2.180808299060005,0.08042364533348983,0.006750059209258053
amt_zscore_7d,True,1.584890546504972,0.10516704212815689,0.005784316013407653
C8,False,0.6883881822532505,0.050088514718918224,0.005567860670988423
V258,False,17.327240037733493,0.06926162892653674,0.0050596693046639826
V294,False,4.542172271783146,0.12177678272569528,0.00486871675029692
id_20,False,5.006441417963004,0.07675376302732388,0.0039484614628985445
V102,False,0.1640928507089026,0.018909111187005292,0.0037969282024591933
amt_mean_24h,True,1.3980677367987355,0.1161365096327732,0.003507209871787276
D10,False,2.0474813435424766,0.041848656203641824,0.0033467682524523147
amt_sum_24h,True,0.7553477909189553,0.04678158655445895,0.002594531695115798
M6,False,0.6355184011189762,0.07902397960126827,0.002562987154840346
V308,False,2.3993668565087405,0.0808271558304014,0.0024005818905163067
D8,False,1.5383657574910352,0.036630041469637234,0.0023893489177198024
txn_count_24h,True,1.1808117204875783,0.044806131283756476,0.0022103802938884367
D3,False,1.0990085816895026,0.06816615949737499,0.002191365129103362
id_31,False,4.259371688770592,0.055963631112043055,0.0020085612375538298
V70,False,0.9021103592698984,0.12600665565656366,0.001857213100441657
secs_since_prev_txn,True,0.5269622318971934,0.04215241035577881,0.0018129553559172785
distinct_addr1_24h,True,1.3908445509646226,0.03329515539261167,0.0017309547839595928
D5,False,0.7376894751671761,0.09159133595058185,0.001499089866405967
V307,False,0.6510389541619069,0.030679068076715603,0.0014812692649086134
M4,False,0.547751740374382,0.1077624696766246,0.0014569332069166551
V30,False,0.0616451566077959,0.006384496788474642,0.0013515102188421779
id_33,False,1.0406339127200968,0.02783466719598719,0.0012088120662849477
id_14,False,0.1658428790547775,0.0047363984859931695,0.0011958818060137876
C4,False,0.8716075215111478,0.021695694142185168,0.0011226414727137923
V74,False,0.5454771233189979,0.015553748786040322,0.001073048271084487
V126,False,0.11138828825342102,0.011496906355256244,0.0010471161177396215
V94,False,0.1654350780110155,0.019079445814646854,0.0010447333561269146
V283,False,1.0863905965901954,0.018416856639948017,0.0008952941684753802
id_38,False,0.3285619006566025,0.008826330676009561,0.0008639870736794952
C12,False,0.5565348716484573,0.009737344604923644,0.0008379312890217094
V69,False,0.12375702506405947,0.018996826099313826,0.0008376858603682646
V58,False,0.48184393694354594,0.018381561548564317,0.0008110363001902155
V29,False,0.07493487823016488,0.010363119475843173,0.0007753672639679854
V274,False,0.33844102349082766,0.0067748710041044555,0.0006656132962356342
C10,False,0.7960850738590362,0.010660714916850736,0.0006499968058674477
V317,False,0.5320705974746575,0.012786116810711852,0.0006035415309382675
V257,False,0.8498675939999106,0.00989801818370239,0.0005864032750379167
V291,False,0.15342341519601146,0.004988602580198886,0.0005266752185300261
V49,False,0.40840891791637585,0.06757572881602064,0.0004951647685642047
V91,False,1.1285253807864943,0.10500184197232372,0.00043240116416590755
id_25,False,0.29455067863410567,0.001838554649286421,0.0004009296591424349
V279,False,0.10676986949975094,0.007200677357446556,0.00037731694142362215
V133,False,0.3361959953316769,0.014828477172123017,0.0003738231162057182
V306,False,0.12846334943361165,0.00520690985885092,0.00037171857898744555
V81,False,0.16825563414578415,0.004996003201898385,0.00037042627576122644
V280,False,0.07231922246406869,0.004658820505046369,0.0003336600925474831
V33,False,0.12444199102457783,0.010741464505688622,0.0003231887576820913
txn_count_1h,True,0.06143374024620469,0.006013758726797613,0.0003117504878624833
V128,False,0.29813874397813156,0.0223710792265307,0.00030896964636796255
