column,kind,missing_rate,flag_high_missing,flag_near_constant,corr,auc,rank_metric,cramers_v,fraud_rate_spread
C4,numeric,0.0,False,False,0.030382136305078477,0.6876954862768906,0.6876954862768906,,
C8,numeric,0.0,False,False,0.03213871315829238,0.6831832044131763,0.6831832044131763,,
C10,numeric,0.0,False,False,0.028395987456789302,0.6779219540533424,0.6779219540533424,,
C12,numeric,0.0,False,False,0.03190528171122422,0.6634604326403511,0.6634604326403511,,
V303,numeric,2.0320384732617603e-05,False,False,0.12428666375043979,0.6625287029415604,0.6625287029415604,,
V304,numeric,2.0320384732617603e-05,False,False,0.13149791827621563,0.6603523193229378,0.6603523193229378,,
D5,numeric,0.524674027161581,False,False,-0.06463762954147734,0.6596705918225709,0.6596705918225709,,
V302,numeric,2.0320384732617603e-05,False,False,0.13290347239519273,0.6579747973272144,0.6579747973272144,,
C7,numeric,0.0,False,False,0.028160291640635313,0.6474387200047707,0.6474387200047707,,
V283,numeric,0.0021488806854743116,False,False,0.11273124389390092,0.6461371838733303,0.6461371838733303,,
V218,numeric,0.7791343516103905,False,False,0.04756506862669431,0.6441231865959895,0.6441231865959895,,
V264,numeric,0.7791343516103905,False,False,0.00935772789983446,0.6433945584400468,0.6433945584400468,,
C5,numeric,0.0,False,False,-0.03075396671325173,0.642417617586954,0.642417617586954,,
V94,numeric,0.15098723202492634,False,False,0.18840709497742528,0.6408613720158487,0.6408613720158487,,
V52,numeric,0.2861262573238053,False,False,0.23946916785412414,0.6405714389225272,0.6405714389225272,,
V219,numeric,0.7791343516103905,False,False,0.04604195893282509,0.6401424516240812,0.6401424516240812,,
C9,numeric,0.0,False,False,-0.03170341586419546,0.6400281701045178,0.6400281701045178,,
V265,numeric,0.7791343516103905,False,False,0.014224070688920502,0.6393299719093435,0.6393299719093435,,
V34,numeric,0.1288193856470349,False,False,0.18030059415433677,0.6393261664657868,0.6393261664657868,,
V51,numeric,0.2861262573238053,False,False,0.2231911021665809,0.6380730325565249,0.6380730325565249,,
V33,numeric,0.1288193856470349,False,False,0.1834861890616364,0.636617568927398,0.636617568927398,,
V91,numeric,0.15098723202492634,False,False,-0.10545301705361207,0.6365869939180895,0.6365869939180895,,
V70,numeric,0.13055169844549055,False,False,-0.10089993699583272,0.6364898409920676,0.6364898409920676,,
V90,numeric,0.15098723202492634,False,False,-0.1101680285092468,0.6363031122277705,0.6363031122277705,,
V282,numeric,0.0021488806854743116,False,False,0.10412294409398622,0.6358975366808248,0.6358975366808248,,
V69,numeric,0.13055169844549055,False,False,-0.1045206308787794,0.635671380063214,0.635671380063214,,
V30,numeric,0.1288193856470349,False,False,-0.10308792418958969,0.6354373753259978,0.6354373753259978,,
V29,numeric,0.1288193856470349,False,False,-0.10785177266358224,0.6354012457558895,0.6354012457558895,,
V79,numeric,0.15098723202492634,False,False,0.19414094448022584,0.6352158129170713,0.6352158129170713,,
V93,numeric,0.15098723202492634,False,False,0.18098315664200093,0.6323334677793174,0.6323334677793174,,
V203,numeric,0.763553696616656,False,False,-0.019941921586457714,0.6322852280149003,0.6322852280149003,,
V92,numeric,0.15098723202492634,False,False,0.18051313293681634,0.6315510830889074,0.6315510830889074,,
V168,numeric,0.763553696616656,False,False,-0.016021114588499065,0.6309324738258246,0.6309324738258246,,
V204,numeric,0.763553696616656,False,False,-0.020747956187807934,0.6304137519679552,0.6304137519679552,,
V217,numeric,0.7791343516103905,False,False,0.04578522121954061,0.630183910157802,0.630183910157802,,
V40,numeric,0.2861262573238053,False,False,0.21244182978302084,0.6301262526413662,0.6301262526413662,,
V263,numeric,0.7791343516103905,False,False,0.014730419798002591,0.6294566751642106,0.6294566751642106,,
V15,numeric,0.1288193856470349,False,False,0.1779630498131749,0.6293027351828381,0.6293027351828381,,
V16,numeric,0.1288193856470349,False,False,0.1743182303677317,0.6292929378248633,0.6292929378248633,,
V258,numeric,0.7791343516103905,False,False,0.29715149798963636,0.6292400097995031,0.6292400097995031,,
V50,numeric,0.2861262573238053,False,False,0.1799532856660305,0.6291409483981675,0.6291409483981675,,
C2,numeric,0.0,False,False,0.037228939530998616,0.6288810034959984,0.6288810034959984,,
V39,numeric,0.2861262573238053,False,False,0.20309652907842843,0.62872936318789,0.62872936318789,,
V81,numeric,0.15098723202492634,False,False,0.18237723430445077,0.6285119569121838,0.6285119569121838,,
V80,numeric,0.15098723202492634,False,False,0.18029947217066442,0.6274288085119384,0.6274288085119384,,
V74,numeric,0.13055169844549055,False,False,0.18591509316376564,0.6272991838206727,0.6272991838206727,,
V43,numeric,0.2861262573238053,False,False,0.19827388575876656,0.6266258773306898,0.6266258773306898,,
V32,numeric,0.1288193856470349,False,False,0.16019713121107101,0.6264598028670212,0.6264598028670212,,
V31,numeric,0.1288193856470349,False,False,0.16316648223856722,0.6264328118220001,0.6264328118220001,,
